question_text,image_source,delay_seconds
We are now going to start the technical process interview.,C:\scripts\PSInterviewGriller\pictures\interview_room.jpg,10
What is ITIL and what is it used for?,C:\scripts\PSInterviewGriller\pictures\calm_interviewer.png,30
What is SOX mean?,C:\scripts\PSInterviewGriller\pictures\calm_interviewer.png,30
What is change control used for?,C:\scripts\PSInterviewGriller\pictures\calm_interviewer.png,30
What is a DR plan and please give an example?,C:\scripts\PSInterviewGriller\pictures\calm_interviewer.png,30
What is a Backup plan and please give an example?,C:\scripts\PSInterviewGriller\pictures\calm_interviewer.png,30
What is a BCP plan and please give an example?,C:\scripts\PSInterviewGriller\pictures\calm_interviewer.png,30
What is ITIL and what is it used for?,C:\scripts\PSInterviewGriller\pictures\calm_interviewer.png,30
What is intent of an onboarding/offboarding process?,C:\scripts\PSInterviewGriller\pictures\calm_interviewer.png,30
What is the purpose of asset management and keeping an inventory?,C:\scripts\PSInterviewGriller\pictures\calm_interviewer.png,30
